"_EMAIL_NOTIFY_YNEVENT_INVITE_BODYHTML";"[header]<br><br> Has sido invitado para unirte al evento &nbsp;""[object_title]"". Hacer click en el siguiente link para conocer mas detalles:<br> <br> http://[host][object_link]<br> <br> [footer]"
"_EMAIL_NOTIFY_YNEVENT_INVITE_MESSAGE_SUBJECT";"Has sido invitado a unirte al evento [object_title]"
"_EMAIL_NOTIFY_YNEVENT_INVITE_MESSAGE_BODYHTML";"[header]<br> <br>Has sido invitado para unirte al evento &nbsp;""[object_title]"". Hacer click en el siguiente link para conocer mas detalles:<br> <br> http://[host][object_link]<br> <br> ----------------------------------------<br> [message]<br> ----------------------------------------<br> <br> [footer]"
"_EMAIL_NOTIFY_YNEVENT_DISCUSSION_REPLY_SUBJECT";"Un mienbro ha comentado en ""[object_title]"" del evento ""[object_parent_title]"""
"_EMAIL_NOTIFY_YNEVENT_DISCUSSION_REPLY_BODYHTML";"[header]<br> <br> [sender_title] has comentado en tu publicacion ""[object_title]"" en el evento ""[object_title]"":<br> <br> ""[message]""<br> <br>Has click en el siguiente link para ver el comentario:<br> <br> http://[host][object_link]<br> <br> [footer]"
"If you would like to change your subscription, please select an option below.";"(((this phrase is not used))) 0001"
"If you would like to change your sembership, please select an option below.";"If you would like to change your membership level, please check the membership types, features offered under each and proceed with your preference."
"_EMAIL_NOTIFY_ADMIN_USER_UPGRADE_SUBJECT";"[sender_title] has requested to upgrade membership."
"_EMAIL_NOTIFY_ADMIN_USER_UPGRADE_BODYHTML";"[header]<br> <br> [sender_title] has requested to upgrade membership. Please click the following link to view it:<br> <br> http://[host]/admin/user/upgrade-requests?email=[sender_email]<br> <br> [footer]"
"_EMAIL_USER_ACCOUNT_APPROVED_SUBJECT";"Your account has been approved."
"_EMAIL_USER_ACCOUNT_APPROVED_BODYHTML";"[header]<br> <br> Your account has been approved by [host]. Please click the following link to sign in:<br> <br> http://[host][object_link]<br> <br> [footer]"
"_EMAIL_CORE_WELCOME_PASSWORD_SUBJECT";"Welcome to [host]"
"_EMAIL_CORE_WELCOME_PASSWORD_BODYHTML";"[header]<br> <br> Thank you for joining <strong>[host]</strong>. Click the following link and enter your login information:<br> <br> http://[host][object_link]<br> <br> Email: [email]<br> Password: [password]<br> <br> [footer]"
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_SUBJECT";"[object_title] has joined [host]"
"_EMAIL_NOTIFY_ADMIN_USER_SIGNUP_BODYHTML";"<br> <br> Congratulations, someone has joined your social network. Welcome the new member to your site:<br> <br> [object_title] : http://[host][object_link]<br> Signup Date: [date]<br>"
"_EMAIL_CORE_WELCOME_SUBJECT";"Welcome to [host]"
"_EMAIL_CORE_WELCOME_BODYHTML";"[header]<br> <br>Welcome!<br>Thank you for joining <strong>[host]</strong>. Here is your login ID:<br> <br>Email: <strong>[email]</strong><br> <br>To login, go here:<br>http://[host][object_link]<br><br>[footer]"
"_EMAIL_CORE_VERIFICATION_SUBJECT";"Tarfee - Email Verification"
"_EMAIL_CORE_VERIFICATION_BODYHTML";"[header]<br> <br> Thank you for joining <strong>[host]</strong>. To verify your email address and continue, please click the following link:<br> <br>http://[host][object_link]<br>Email: [email]<br><br>If you recieved this email by mistake, please ignore it!<br> <br> [footer]"
"Trophies & Archievements";"Trophies & Achievements"
"You don't have any trophies/archievements!";"You don't have any trophies/achievements!"
"Maximum trophies and archievements the user can add";"Maximum trophies and achievements the user can add"
"Maximum character of trophy/archievement Short description the user can add";"Maximum character of trophy/achievement Short description the user can add"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_SUBJECT";"[sender_title] has started following you."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_BODYHTML";"[header]<br> <br> [sender_title] has started following you. Please click the following link to view the member:<br> <br> http://[host][object_link]<br> <br> [footer]"
"_EMAIL_HEADER_SUBJECT";""
"_EMAIL_HEADER_BODYHTML";"Hello,"
"_EMAIL_FOOTER_SUBJECT";""
"_EMAIL_FOOTER_BODYHTML";"Best Regards,<br> Tarfee team<br>www.tarfee.com"
"_EMAIL_HEADER_MEMBER_SUBJECT";""
"_EMAIL_HEADER_MEMBER_BODYHTML";"Hello [recipient_title],"
"_EMAIL_FOOTER_MEMBER_SUBJECT";""
"_EMAIL_FOOTER_MEMBER_BODYHTML";"Best Regards,<br>Tarfee team<br>www.tarfee.com"
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_SUBJECT";"[sender_title] has requested to follow you."
"_EMAIL_NOTIFY_FRIEND_FOLLOW_REQUEST_BODYHTML";"[header]<br> <br> [sender_title] has requested to follow you. Please click the following link to sign in and confirm this request:<br> <br> http://[host][object_link]<br> <br> [footer]"
"Add Talks";"Start a Talk"
"Add Talk";"Start a Talk"
"Write New Entry";"Start a new Talk"
"Add New Talk";"Add New Talk"
"Add New Talk";"Start a New Talk"
"Write New Entry";"Start a New Talk"
"landing popup welcome";"landing popup welcome"
"landing popup welcome";"<span class=""title"">Discover and save millions of hand-picked recipes</span>
<span class=""sub-title"">Join Tarfee to find (and save!) all the things that inspire you.</span>"
"AUTHORIZATION_VIEWS_SCRIPTS_ADMINLEVEL_DESCRIPTION";"Member levels can be used to give certain members more privileges than others. You can grant/restrict a member level's access to features, sections of the community. You can also assign levels that have moderation or administrative capabilities.<br /><br />One of your member levels must be marked as the ""default level"". When new members sign up, they will automatically belong to this level. You can change a specific member's level by editing their account details from the %s page. If you want all members in your community to have the same features and limits, you will only need a single member level (aside from the Super Admin level)."
"_INVITE_FORM_DESCRIPTION";"Invite your friends to join! Enter up to 10 email addresses separated by commas in the recipients box below. If your friends decide to sign up, a friend request from you will be waiting for them when they first sign in."
"Use %invite_url% to add a link to our sign up page.";"Use %invite_url% to add a link to our sign up page."
"Sign up Date";"Sign up Date"
"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first.";"If you already have an account, please enter your details below. If you don't have one yet, please <a href='%s'>sign up</a> first."
"USER_VIEWS_SCRIPTS_ADMINSIGNUP_INDEX_DESCRIPTION";"When new members sign up, they are led through a step-by-step process that helps them create an account and fill out their profile. You can customize most aspects of this sign-up process here. On the left, there is a list of steps that make up the sign-up process. You can change the order of these steps by clicking on the arrows and dragging up or down."
"Sign Up";"Register"
"_EMAIL_NOTIFY_YNFEEDBACK_IDEA_SIGNUPMERGE_DESCRIPTION";"This email is send to user when sign up with an email has post some feedbacks and comments."
"Sign Up";"Sign up"
"Sign Up";"Register"
"Sign Up";"Sign up"
"landing popup welcome";"<span class=""title"">Tarfee the soccer/football social network</span>
<span class=""sub-title"">Join Tarfee to connect with clubs, professionals and players.</span>"
"landing popup welcome";"<span class=""title"">Tarfee the football social network</span>
<span class=""sub-title"">Join Tarfee to connect with clubs, professionals and players.</span>"
