#Traducción al castellano formal - Valeria Glazunov - OKEYGO y SOCIALENGINE.ES - Versión Julio de 2013 - ESV4.1 - SE. 4.6
#Algunas frases pese a estar traducidas no aparecerán al usuario final debido a fallos del código de Social Engine en los que no aparece la variable "translate"


#VÍDEO

"Video";"Vídeo"
"_EMAIL_CORE_INVITE_SUBJECT";"[Red Social] - Invitación para acceder a la Red Social."
"_EMAIL_CORE_INVITE_BODY";"Buenos Días,

[displayname] le ha enviado una invitación para poder crear una cuenta en la <b>Red Social  </b>, para ello, debe ir al siguiente enlace:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social

----------------------------------------
[message]"
"_EMAIL_CORE_VERIFICATION_TITLE";"Verificación de Correo Electrónico"
"_EMAIL_CORE_VERIFICATION_DESCRIPTION";"Este es el correo que se envía al usuario cuando usted ha optado por NO generar contraseñas aleatorias."
"_EMAIL_CORE_VERIFICATION_SUBJECT";"[Red Social] - Verificación del Correo Electrónico empleado en el registro"
"_EMAIL_CORE_VERIFICATION_BODY";"Buenos días [displayname],

Gracias por abrir una cuenta en la Red Social. Para seguir con el proceso debe pulsar el enlace siguiente:
http://[host][object_link]

Email: [email]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_CORE_VERIFICATION_PASSWORD_TITLE";"Verificación de Correo Electrónico con Contraseña"
"_EMAIL_CORE_VERIFICATION_PASSWORD_DESCRIPTION";"Este es el correo que se envía al usuario para verificar su correo electrónico cuando usted ha seleccionado generar contraseñas aleatorias.
<br />
<br />
Variables disponibles:
<br />
[displayname],[email],[link],[password]"
"_EMAIL_CORE_VERIFICATION_PASSWORD_SUBJECT";"[Red Social] - Verificación del Correo Electrónico"
"_EMAIL_CORE_VERIFICATION_PASSWORD_BODY";"Buenos días [displayname],

Gracias por unirse a la Red Social. Pasa verificar el correo electrónico y continuar pulse el enlace siguiente:
http://[host][object_link]

Correo Electrónico: [email]
Contraseña: [password]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_CORE_NEWPASSWORD_TITLE";"Nueva Contraseña"
"_EMAIL_CORE_NEWPASSWORD_DESCRIPTION";"Este es el correo que se envía al usuario cuando usted ha seleccionado generar contraseñas aleatorias tras el registro.
<br />
<br />
Variables disponibles:
<br />
[displayname],[email],[password],[link]"
"_EMAIL_CORE_NEWPASSWORD_SUBJECT";"[Red Social] - Datos de Acceso"
"_EMAIL_CORE_NEWPASSWORD_BODY";"Buenos días [displayname],

Gracias por unirse a la Red Social. Pulse el enlace siguiente e introduzca los detalles proporcionados a continuación para entrar identificarse en la Red Social:

http://[host][object_link]

Correo Electrónico: [email]
Contraseña: [password]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_CORE_WELCOME_SUBJECT";"Bienvenido a la Red Social"
"_EMAIL_CORE_WELCOME_BODY";"Buenos días [displayname],

Gracia spor unirse a la Red Social. Pulse el enlace siguiente para entrar e identificarse:

http://[host][object_link]

Correo Electrónico: [email]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_CORE_WELCOME_PASSWORD_TITLE";"Bienvenida con contraseña"
"_EMAIL_CORE_WELCOME_PASSWORD_DESCRIPTION";"Este es el correo que se envía al usuario cuando se registra y se ha activado la opción de generar contraseñas aleatorias. Tenga en cuenta que si tiene activada la verificación de correo electrónico, la variable passwd no estará disponible. Esto es debido a que las contraseñas se encriptan de forma segura tras el registro y no pueden ser desencriptadas cuando un usuario verifica su correo electrónico y se envía el correo de bienvenida.
<br />
<br />
Variables disponibles:
<br />
[displayname],[email],[password],[link]"
"_EMAIL_CORE_WELCOME_PASSWORD_SUBJECT";"Bienvenido a la Red Social"
"_EMAIL_CORE_WELCOME_PASSWORD_BODY";"Buenos días [displayname],

Gracias por unirse a la Red Social. Puede acceder pulsando el enlace a continuación y empleando los datos que vienen en este correo para identificarse:

http://[host][object_link]

Correo Electrónico: [email]
Contraseña: [password]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_CORE_LOSTPASSWORD_SUBJECT";"[Red Social] - Regeneración de Contraseña"
"_EMAIL_CORE_LOSTPASSWORD_BODY";"[displayname],

Se ha recibido solicitud de recuperación de la contraseña asociada al correo electrónico [email] para poder acceder a la Red Social  . Dado que el método de encriptación empleado no permite conocer cuál era la contraseña, se ofrece como alternativa el asignarse usted mismo una nueva siguiendo las instrucciones que encontrará siguiendo este enlace:

http://[host][object_link]

Un Cordial Saludo,
 
Administración Red Social"
"_EMAIL_NOTIFY_COMMENTED_TITLE";"Comentario"
"_EMAIL_NOTIFY_COMMENTED_DESCRIPTION";"Este correo electrónico se envía al usuario cuando se hace un comentario a su artículo.
<br />
<br />
Variables disponibles:
<br />
[recipient_title], [sender_title], [host], [object_link]"
"_EMAIL_NOTIFY_COMMENTED_SUBJECT";"Nuevo comentario a un Artículo suyo"
"_EMAIL_NOTIFY_COMMENTED_BODY";"Buenos días [recipient_title],

[sender_title] ha realizado un comentario en la Red Social a alguna de sus publicaciones. Pulse en el enlace siguiente si desea conocer el contenido:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_NOTIFY_COMMENTED_COMMENTED_TITLE";"También comentado"
"_EMAIL_NOTIFY_COMMENTED_COMMENTED_DESCRIPTION";"Este es el correo enviado al usuario cuando alguien comenta un artículo que comentó previamente.
<br />
<br />
Variables disponibles:
<br />
[recipient_title], [sender_title], [host], [object_link]"
"_EMAIL_NOTIFY_COMMENTED_COMMENTED_SUBJECT";"[sender_title] también ha dejado un comentario al mismo artículo o publicación"
"_EMAIL_NOTIFY_COMMENTED_COMMENTED_BODY";"Buenos días [recipient_title],

[sender_title] también ha hecho un comentario al artículo, nota o publicación que usted comentó. Vaya al siguiente enlace si desea visionar el contenido:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_NOTIFY_LIKED_TITLE";"Recomendaciones"
"_EMAIL_NOTIFY_LIKED_DESCRIPTION";"Este es el correo enviado al usuario cuando a alguien le gusta su artículo.
<br />
<br />
Variables disponibles:
<br />
[recipient_title], [sender_title], [host], [object_link]"
"_EMAIL_NOTIFY_LIKED_SUBJECT";"Recomendación"
"_EMAIL_NOTIFY_LIKED_BODY";"Buenos días [recipient_title],

[sender_title] ha <b>recomendado</b> uno de sus Artículos o Notas hechas por usted en la Red Social. Pulse en el enlace siguiente si desea verlo:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_NOTIFY_LIKED_COMMENTED_TITLE";"Comentario a recomendación"
"_EMAIL_NOTIFY_LIKED_COMMENTED_DESCRIPTION";"Este es el correo enviado al usuario cuando alguien comenta un artículo que recomendó.
<br />
<br />
Variables disponibles:
<br />
[recipient_title], [sender_title], [host], [object_link]"
"_EMAIL_NOTIFY_LIKED_COMMENTED_SUBJECT";"[sender_title] comentó un artículo que a usted le gustó"
"_EMAIL_NOTIFY_LIKED_COMMENTED_BODY";"Buenos días [recipient_title],

[sender_title] ha comentado sobre un artículo en la Red Social que a usted le gustó. Si desea ver el contenido puede pulsar en el enlace siguiente:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social"
"_EMAIL_NOTIFY_TAGGED_TITLE";"[Red Social] - Etiquetado"
"_EMAIL_NOTIFY_TAGGED_DESCRIPTION";"Este es el correo enviado al usuario cuando alguien le etiqueta.
<br />
<br />
Variables disponibles:
<br />
[recipient_title], [object_type_name], [host], [object_link]"
"_EMAIL_NOTIFY_TAGGED_SUBJECT";"[Red Social] - Se le ha identificado o etiquetado"
"_EMAIL_NOTIFY_TAGGED_BODY";"Buenos días [recipient_title],

Ha sido identificado o etiquetado en [object_type_name]. Para verlo en la propia Red Social y (borrar en su caso) puede ir al siguiente enlace:

http://[host][object_link]

Un cordial saludo,
 
Administración Red Social"
"Email queue";"Cola de Envio de Mensajes"
"Utilizing an email queue, you can allow your website to throttle the emails being sent out to prevent overloading the mail server.";"Utilizando la cola de envío puede regular los correos que se van enviando previniendo una sobrecarga del servidor de correo."
"Yes, enable email queue";"Sí, activar la cola de envío"
"No, always send emails immediately";"No, enviar los correos inmediatamente"
"Use the built-in mail() function";"Usa la función mail() de php"
"Send emails through an SMTP server";"Enviar correos electrónicos a través de servidor SMTP"
"Thank you for contacting us!";"¡Gracias por ponerse en contacto con la Administración de la Red Social, lo que redunda siempre en un mejor servicio."
"Please complete this field - it is required.";"Por favor, rellene este campo. Está establecido como obligatorio."
"ITEM_TYPE_CORE_LINK";"Enlaces"
"Everything";"Todo"
"Links";"Enlaces"
"Emails Sent";"Correos enviados"
"Online Members";"Usuarios conectados"
"Quick Stats";"Resumen de estadísticas"
"System Mode";"Modo del sistema"
"Email All Members";"Escribir a todos los usuarios"
"Packages & Plugins";"Aplicaciones y Plugins"
"Mail Templates";"Plantillas de correo"
"Mail Settings";"Configuración de correo"
"Admin Password";"Contraseña del Administrador"
"Normal";"Normal"
"CORE_FORM_ADMIN_MESSAGE_MAIL_DESCRIPTION";"Empleando este formulario, podrá enviar un correo electrónico a todos sus Usuario a la vez. Los correos se envían empleando un sistema de cola de espera, de modo que se envíen paulatinamente. Se le remitirá un correo de confirmación una vez todos los correos hayan sido enviados."
"From:";"De:"
"From (name):";"De (nombre):"
"Subject:";"Asunto:"
"Hold down the CTRL key to select or de-select specific Member Levels.";"Mantenga pulsada la tecla CTRL para seleccionar o excluir determinados niveles de usuario."
"(HTML or Plain Text)";"(HTML o Texto plano)"
"Send Emails";"Enviar Correos"
"No, visitors must sign in to view the browse members page.";"No, los visitantes deben registrarse para ver la página con el listado de usuarios."
"Notification Update Frequency";"¿Frecuencia de actualización de Notificaciones"
"Default Locale";"Lugar por defecto"
"Facebook App Secret";"Facebook App Secreto"
"This is a 36 character string of letters and numbers provided by Facebook when you create an Application in your account.";"Se trata de una cadena de 36 caracteres de letras y números facilitada por FaceBook cuando crea una aplicación con su cuenta de desarrollador de FaceBook."
"Facebook App ID";"Facebook App ID"
"Integrate Features";"Características de Integración"
"What features would you like to integrate?";"Qué le gustaría integrar con facebook?"
"None";"Nada"
"Signup/Login only";"Registro/Identificación Sólo"
"Publish to Facebook";"Publicar en Facebook"

"Email Queue";"Cola de envío de correos"
"Send through SMTP";"Enviar vía SMTP"
"SMTP Server Address";"Dirección del Servidor de SMTP"
"SMTP Server Port";"Puerto SMTP del Servidor"
"SMTP Authentication?";"¿Autenticación para el SMTP?"
"Use SSL or TLS?";"¿Usar SSL o TLS?"
"Default: 25. Also commonly on port 465 (SMTP over SSL) or port 587.";"Por defecto: 25. También suele ser el 465 (SMTP sobre SSL) o puerto 587."
"Does your SMTP Server require authentication?";"¿Su servidor SMTP requiere autenticación?"

#CACHE

"Use Cache?";"¿Usar Caché?"
"Yes, enable caching.";"Sí, habilitar el ""cacheado""."
"No, do not enable caching.";"No, no habilitar el ""cacheado""."
"Memcache Host";"""Memcache Host"""
"Cache Lifetime";"Caducidad de la Caché"
"Caching Feature";"Tipo de ""Cacheado"""
"File-based";"""File-based"""
"Memcache";"""Memcache"""
"Can be a domain name, hostname, or an IP address (recommended)";"Puede ser un nombre de dominio, ""hostname"", o IP (recomendado)"
"Memcache Port";"Puerto de ""Memcache""."
"Memcache compression?";"¿Compresión mediante ""Memcache""?"
"Flush cache?";"¿Vaciar Caché?"
"File-based Cache Directory";"Directorio de Cache basado en archivos ""File-Based""."
"File locking?";"¿Bloqueo de archivos?"
"Note: your site is currently not in production mode, so caching will be disabled regardless of these settings.";"Atención: su sitio no se encuentra en modo de producción. El cacheado se deshabilitará en cualquier caso."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_DESCRIPTION";"Para Redes Sociales de gran tamaño, puede ser necesario habilitar el cacheado para mejorar el funcionamiento. Si hay una aparente disminución del funcionamiento de su red Social considere habilitar el cacheado (o mejorar el Servidor o sus características). El cacheado toma datos de la base de datos evitando las consultas recurrentes almacenando lo más solicitado en ficheros temporales (cacheado basado en archivos) o ""memcached"" (cacheado basado en la memoria). Si no está familiarizado con el cacheo, no le recomendamos que altere estos ajustes."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_LIFETIME_DESCRIPTION";"Si ha habilitado el cacheado, por favor seleccione el tiempo que desea que permanezca en las carpetas temporales seleccionadas"
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_TYPE_DESCRIPTION";"Si ha habilitado el cacheado, por favor seleccione el tipo de cacheado que va a emplear. ""Memcache"" (si está disponible) utilizará memoria RAM que no es tan abundante como la memoria de disco duro, sin embargo será más rápido cuando se lleven a cabo operaciones de lectura y escritura"
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_FILE_PATH_DESCRIPTION";"Aquí es donde se almacenan los archivos que contienen los datos almacenados. Las carpetas deben tener permiso de escritura (chmod 777). Debería tratarse de una ruta relativa a la de instalación de la Aplicación."
"CORE_FORM_ADMIN_SETTINGS_PERFORMANCE_ENABLE_DESCRIPTION";"¿Habilitar cacheado? Si habilita el cacheado verá reducido el consumo de CPU en su servidor (lo que redundará en una disminución de recarga de páginas). Mientras que algunos datos no críticos pueden estar desfasados puede que no sea advertido por sus usuarios. Por ejemplo algunas estadísticas de su red Social pueden tardar más tiempo en actualizarse. NO será evidente si su Red Social ya tienen mucha información y está llena de mensajes y datos por doquier."


#ADMIN

"Admin Reauthentication";"Solicitud de nueva Autenticación de Administradores"
"Conrols settings about access to the admin panel.";"Ajustes referidos al acceso al Panel de Control del Administrador principal."
"Do not require reauthentication.";"No se requiere reautenticación."
"Require admins to re-enter their password when they try to access the admin panel.";"Solicitar a los Administradores teclear su contraseña de nuevo a la hora de acceder al Panel de Control."
"Require admins to enter a global password when they try to access the admin panel.";"Solicitar a los administradores teclear una contraseña global cuando intenten acceder al Panel de Control"
"The password for ""Require admins to enter a global password when they try to access the admin panel."" above (otherwise ignore).";"La contraseña aludida en la tercera opción del párrafo anterior. (En caso contrario ignorar)."
"Confirm password";"Confirmar contraseña"
"Timeout";"Tiempo excedido"
"How long (in seconds) before admins have to reauthenticate?";"Cuánto tiempo (en segundos) antes de que los Administradores deban identificarse de nuevo?"


#LAYOUT

"Page Block Placement";"Página de colocación de contenido"
"Global Header";"Encabezado general"
"Delete Page";"Borrar página"
"HTML Block";"Bloque HTML"
"Activity Feed";"Titulares"
"Ad Campaign";"Campaña Publicitaria"
"Content";"Contenido"
"Footer Menu";"Menu de pie de página"
"Generic Menu";"Menú genérico"
"Main Menu";"Menu principal"
"Mini Menu";"Mini Menu"
"Profile Links";"Enlaces del Perfil"
"Requests";"Solicitudes"
"Site Logo";"Logotipo de la Red Social"
"Tab Container";"Contenedor de pestañas"
"Core";"Core"
"Available Themes";"Plantillas disponibles"
"Active Theme";"Plantilla activa"
"Editing File:";"Editando archivo:"
"this is your current theme";"esta es su plantilla actual"
"Export";"Exportar"
"Upload New Theme";"Subir nueva plantilla"
"Activate Theme";"Activar plantilla"
